"","HHID","HV001","HV002","ta_id","urban_rural","HV246A","HV246D","HV246E","HV246G","HV248","HV245","HV271","HV251","HV204","HV206","HV226","HV219","HV243A","HV207","hhlivestock","livestock","sick","land","wealth","orphans","water","electricity","cooking","femalehh","cellphone","radio","urbanruralscore","capacity","na.rm"
"1","        1 25",1,25,42,0,0,0,0,0,0,NA,34632,4,30,0,8,2,1,0,0,0,0.147481097612777,NA,3.07739359442698,0.0655849120720415,1.03553213192792,0,0.0693376386115478,0,0,0,0,NA,FALSE
"2","        1 27",1,27,42,0,0,0,0,0,0,NA,-46308,0,30,0,8,1,0,0,0,0,0.147481097612777,NA,1.70911562314162,0.892362586016481,1.03553213192792,0,0.0693376386115478,1.12802650581939,1.48212995622795,0,0,NA,FALSE
"3","        2  9",2,9,2,0,0,0,0,0,0,NA,-62195,1,30,0,8,1,0,1,0,0,0.147481097612777,NA,1.08911732223261,0.469968566816753,1.03553213192792,0,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,0,NA,FALSE
"4","        2 11",2,11,2,0,0,0,0,0,0,NA,156114,0,0,0,7,2,1,1,0,0,0.147481097612777,NA,3.68838671310849,0.892362586016481,3.62801768106086,0,3.60980583761737,0,0,1.87771404291481,0,NA,FALSE
"5","        2 25",2,25,2,0,0,0,0,0,0,NA,135017,0,15,0,8,1,1,1,0,0,0.147481097612777,NA,3.62552034661456,0.892362586016481,2.3318599115947,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"6","        3  3",3,3,129,0,0,0,0,0,0,NA,33577,0,10,0,8,1,1,1,0,0,0.147481097612777,NA,3.0700875031858,0.892362586016481,2.71336280176811,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"7","        3  5",3,5,129,0,0,0,0,0,0,NA,54360,0,6,0,8,1,1,1,0,0,0.147481097612777,NA,3.23914705632487,0.892362586016481,3.33390003400204,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"8","        3  9",3,9,129,0,0,0,0,0,0,NA,-52369,0,30,0,8,1,0,1,0,0,0.147481097612777,NA,1.50063715911987,0.892362586016481,1.03553213192792,0,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,0,NA,FALSE
"9","        3 13",3,13,129,0,0,0,0,0,0,NA,-59253,0,15,0,8,1,0,1,0,0,0.147481097612777,NA,1.21468014612182,0.892362586016481,2.3318599115947,0,0.0693376386115478,1.12802650581939,1.48212995622795,1.87771404291481,0,NA,FALSE
"10","        3 16",3,16,129,0,0,0,0,0,0,NA,30902,0,10,0,8,1,1,1,0,0,0.147481097612777,NA,3.04222241101011,0.892362586016481,2.71336280176811,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"11","        3 18",3,18,129,0,0,0,0,0,0,NA,-35188,0,20,0,8,1,1,0,0,0,0.147481097612777,NA,2.01444227338374,0.892362586016481,1.81553893233594,0,0.0693376386115478,1.12802650581939,0,0,0,NA,FALSE
"12","        3 25",3,25,129,0,0,0,0,0,0,NA,-55041,0,30,0,8,2,0,0,0,0,0.147481097612777,NA,1.3937643360802,0.892362586016481,1.03553213192792,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"13","        3 27",3,27,129,0,0,0,0,0,0,NA,-10729,0,20,0,8,1,1,1,0,0,0.147481097612777,NA,2.51142638688302,0.892362586016481,1.81553893233594,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"14","        4  6",4,6,23,0,0,0,0,0,0,NA,-82122,0,60,0,8,1,0,0,0,0,0.147481097612777,NA,0.214425282473876,0.892362586016481,0.23954437266236,0,0.0693376386115478,1.12802650581939,1.48212995622795,0,0,NA,FALSE
"15","        4 19",4,19,23,0,0,0,0,0,0,NA,-75119,0,60,0,8,2,0,0,0,0,0.147481097612777,NA,0.501061931866451,0.892362586016481,0.23954437266236,0,0.0693376386115478,0,1.48212995622795,0,0,NA,FALSE
"16","        5  6",5,6,164,0,0,0,0,0,0,NA,74407,0,5,0,8,1,1,1,0,0,0.147481097612777,NA,3.3674284257922,0.892362586016481,3.35430125807548,0,0.0693376386115478,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"17","        5 13",5,13,164,0,0,0,0,0,0,NA,297392,0,10,1,1,1,1,1,0,0,0.147481097612777,NA,3.89159799507264,0.892362586016481,2.71336280176811,3.71083312058548,3.94697709988529,1.12802650581939,0,1.87771404291481,0,NA,FALSE
"18","        5 17",5,17,164,0,0,0,0,0,0,NA,381153,0,0,1,7,1,1,1,0,0,0.147481097612777,NA,3.95208563418571,0.892362586016481,3.62801768106086,3.71083312058548,3.60980583761737,1.12802650581939,0,1.87771404291481,0,NA,FALSE
